Company,Address,Postal Code,City,Country,Website,Phone,Online,Physical
Lavangen Byggeindustri AS,Nesset,9357,TENNEVOLL,NO,,77176950,,X
Vaunt Designs,45 Evelyn Street,NG9 2EU,Beeston,GB,https://www.vauntdesign.com,+44 7718123610,X,X
Mon Pote Limited,217 North Street,BS3 1JJ,Bristol,GB,https://www.monpote.co.uk,+44 7725 874822,X,X
Accessories for the Home,12 Lumber Lane,M28 2QH,Manchester,GB,https://www.accessoriesforthehome.co.uk,7725875338,X,X
Berglon P/F,Heidavegur 9-11,620,Runavík,FO,,298773000,,X
Iconioo s.r.o.,Zuzana Kascáková,289 03,Slovec,CZ,,420775914455,,X
Britts Boutique AS,Lilletorget,NO-9008,Tromsø,NO,,77601980,,X
Bardufoss Møbler AS,Postboks 1224,NO-9326,BARDUFOSS,NO,,,,X
Myre Møbler AS,Strandveien 68,NO-9300,Finnsnes,NO,,77843420,,X
Pebble Home & Lifestyle,28 Charing Cross,JE2 3RP,Jersey,GB,https://www.ilovepebble.com,+44 7797 735333,X,X
No 19 Hammerfest AS,Strandgt. 19,NO-9600,Hammerfest,NO,,78411808,,X
Giomani Designs,Redman Fisher Building,DY4 9AQ,Tipton,GB,,+44 7869458015 ,,X
Löffelhase GmbH,Obergasse 4,8400,Wintherthur,CH,,0041788623625,,X
Fusion Trading,High Street (Corner Of Lowgate Lane) ,SG11 1BT,High Cross,GB,,+44 7881615343,,X
Interiørverden A/S,Kirkegata 2,NO-9900,Kirkenes,NO,,78993155,,X
hyggeLIVING,Buchserstrasse 15,5000,Aarau,CH,,41795162959,,X
Atelier La Dolce Vita,Chemin du Lessus 22,1867,St-Triphon,CH,,41797080491,,X
Interior Fascination,134 High Street,BA1 4DF,Bath,GB,,+44 7989657676,,X
Maison Curate,61 Northcote Road,SW11 1NP,London,GB,,+44 7899 044775,,X
Wein-Blüte OHG,Seestrasse 3,83700,Rottach-Egern,DE,,4980226135,,X
redsquare GmbH,Schinkestrasse 9,12047,Berlin,DE,,80312366440,,X
Die Einrchtungslounge GmbH & C,Friedrichshafenerstr. 57,88131,Lindau,DE,,49083822748031,,X
Winkel voor Thuis,Ooststraat 45,4306AB,Nieuwerkerk,NL,https://www.winkelvoorthuis.nl,+31(0)111724082,X,X
Intero Interiör AB,Birkagatan 32,113 39,Stockholm,SE,https://www.interointerior.se,850650917,,X
Zandvoort Inredning AB,Värmdövägen 120,131 54,Nacka,SE,https://www.zandvoort.se,86151409,X,X
Ruth Noble Interiors Limited,13 Railway Cottages,D04 HZT9,Dublin,IE,,+353 86 1789702,,X
Kajaanin Valomaailma,Kauppakatu 5 LT. 4,87100,KAJAANI,FI,https://www.valomaailma.fi,3588626200,X,X
Doblinger KG,Altstadt 252,84028,Landshut,DE,,+4987122237,,X
"Ryle & Co, Fabricport.com",Kilcroney Furniture,A98 E422,Bray,IE,https://www.ryleandcompany.ie,+353 83 206 5027,,X
Stone and Beige,27 Llewellyn Way,D16XY38,Dublin,IE,,353873927179,,X
Blumen Müssig GbR,Untermarkt 11,82418,Murnau,DE,https://www.blumen-muessig.de,004988413545,,X
Living Space Ltd,Vishneva 12,BG-1164,Sofia,BG,,+359 887880106,,X
Burke Decor LLC,1419 Boardman Canfield Rd.,44512,Boardman Ohio,US,,18883388111,,X
Coming Home Interieur,Isartorplatz 3,80331,München,DE,,8921667720,,X
Wortwahl Buchkultur,Reichenbachstr. 15,80469,München,DE,,498926019311,,X
Curtis & Curtis GmbH,Wiener Platz 8,81667,München,DE,,49894481015,,X
Westwing GmbH München,Moosacher Str. 88,80809,,PL,,4989550544438,X,
Straa AS,Elias Smiths vei 26,1337,Sandvika,NO,,90022271,,X
Holmris Form/Funk AS,Ryenstubben 3,NO-0679,Oslo,NO,https://www.holmris-ff.no,+47 900 33 940,,X
Keiserens nye trær AS,Olav Tryggvasons gate 6,NO-7011,Trondheim,NO,,+47 90103079,,X
Bakgården Cafe As,Kongensgate 37,NO-3211,Sandefjord,NO,,,,X
Real Partner AS,Gyldenløves gate 4,0260,Oslo,NO,https://www.realpartner.no,46361200,,X
Saxi AS,Havnegate 2,NO-9800,Vadsø,NO,,,,X
Bergen Interiørstudio AS,Kanalveien 109,5068,Bergen,NO,,,,X
Villa Bekk AS,Anton Tschudisvei 63 B,NO-1344,Haslum,NO,,4790519016,,X
Anouska AS avd Asker,Smuget 1,1383,Asker,NO,,4790535095,,X
Coconut klær og interiør,Rådhusgaten 19,3290,Stavern,NO,,93420282,,X
Frantz Hegg Gartneri AS,Heggalleen 12,NO-3403,Lier,NO,,,,X
Tint AS,Sofienberggata 6,0551,Oslo,NO,,91877958,,X
Skreddersydde hjem,Haakonsgate 11,NO-3950,Brevik,NO,,,,X
APT88 Hofsli,Henrichsens gate 5 B,NO-0169,Oslo,NO,,,,X
Krohnark AS,Thorvald Meyers gate 7,NO-0555,Oslo,NO,https://www.krohnark.no,4747709120,,X
"CHLOROS JAPAN CO., LTD.",872 Tsuchiyama Hiraoka-cho,675-0104,Hyogo,JP,,+81 090 5906 6625,,X
No 3 Drøbak AS,Torggate 3,NO-1440,Drøbak,NO,,90655395,,X
Nordstrand Møbler og Interiør AS,Sandstuveien 70A,NO-0680,Oslo,NO,https://nordstrandmobler.no/,92912735,X,X
KADA Studio AS,Storgata 39B,NO-2609,Lillehammer,NO,,,,X
Hafslund Strand AS,Studio Henni,3015,DRAMMEN,NO,http://https://www.hafslundstrand.no/,,,X
OBAS AS,Dråpen 16,3036,Drammen,NO,,90843596,,X
Mathea AS,Trevaren 2,1389,Heggedal,NO,,90898786,,X
MAHO Blomster AS,Flatholmvegen 38,7550,Sørvad,DK,,4790934692,,X
Haddock A/S,Misværveien 8,NO-8312,Henningsvær,NO,,90954619,,X
Mittmøbel,Hafrakerskrenten 5,NO-3962,STATHELLE,NO,https://www.mittmobel.no,91004887  ,X,
Pangaea Arquitectos S.L.,Paseo de la Habana 71,ES-28036,Madrid,ES,,+34 910 568 136,X,X
"Camilie, Bente Motrøen",Waldemar Thranes gate 26,NO-0171,Oslo,NO,,911 02 975,,X
Thelma & Molli ANS,Solakrossvegen 26,4050,Skibby,DK,,91247939,,X
Tassara2005 SL,Cristina Tassara,28002,Madrid,ES,livinginlondonshop.es,34913103932,X,X
Multiform Bergen,Strandgaten 214,5004,Bergen,NO,,4791391599,,X
White & One SL,White & One SL,28108,"Alcobendas, Madrid",ES,,+34 914564770,X,X
E. Ahlström Oy,Kuortaneenkatu 1,00520,Helsinki,FI,https://www.eahlstrom.fi,,,X
Atelier Ribe AS,Kirkegata 41,NO-4612,KRISTIANSAND S,NO,,,,X
HEIME inventar&blomster,Bø Senter,3800,Bø,NO,,91550876,,X
Lysefjorden Sjokolade,Produksjon AS,NO-4100,Jørpeland,NO,,,,X
Golightly AS,"Pir 2, nr 3",NO-7010,Trondheim,NO,,+4791591629,,X
ZENOTEX AS,Bygdøy terrasse 14c,NO-0287,Oslo,NO,,,,X
Blomstrende AS,Dragsundråsa 2,NO-6080,Gurskøy,NO,,91698191,,X
Signed by Sensa AS,Kirkeveien 167D,NO-1384,Asker,NO,,91705272,,X
Mari Sommerfeldt AS,Axel Huitfeldts vei 5,NO-1170,Oslo,NO,,,,X
Eldhuset Brenden,Øvrebygde 66,NO-3650,Tinn Austbygd,NO,,91789665,,X
Ravn,Tunet Interiør AS,3560,Hemsedal,NO,,91791912,,X
Emmelines Kafe AS,Ivar Lykkes veg 10,7075,Tiller,NO,,92027511,,X
Brun`O interiør AS,Haraldsgata 90,5528,Haugesund,NO,,,,X
Room2room AS,Hovfaret 4,NO-0275,Oslo,NO,https://www.room2room.no,,,X
Escandinavia,"Callejón del Combate, 8",38002,Santa Cruz de Tenerife,ES,https://www.escandinaviashop.com,34922074885,,X
Siloen gårdsbutikk AS,Bygdaråvegen 550 b,NO-3840,Seljord,NO,,92219166,,X
Simply Fashion AS,Tastasenter,4027,Stavanger,NO,,92267068,,X
StudioBazar AS,Ullevålsveien 47 A,NO-0171,Oslo,NO,https://www.studiobazar.no,92296666,,X
ITAB Norge AS,Trondheimsveien 156,NO-0570,Oslo,NO,https://www.itab.com,,,X
Utopic Mountain - Unipessoal L,"Estrada Municipal, Cruzinha nº",6200-811,Vales do Rio,PT,,351924267973,,X
Styleit aS,Ålgårdsveien 5,NO-4330,Ålgård,NO,https://www.styleitas.no,95992518,,X
Blomst Viola AS,Storgata 31,NO-4307,Sandnes,NO,,+47 92463290,,X
Styling Habitats AS,Peer Gynts vei 2,NO-4019,Stavanger,NO,https://www.habitatstyling.no,+47 92621136,,X
Romsø Design,Karlsøyveien 12,NO-9015,Tromsø,NO,https://www.romsodesign.no,92630363,,X
Balthazar Interior Oslo AS,Dalsbergstien 2,NO-0170,Oslo,NO,,+47 48909150,,X
Boligstyle AS,Ringeriksveien 158,1339,Vøyenenga,NO,,,,X
Divine Design Oslo AS,Heggelibakken 4,NO-0375,Oslo,NO,https://www.divinedesignoslo.no,4792670022,,X
Frida Yvonne Henriksson,"Rua Joao Antonio Gaspar 24, R/",2765-326,Estoril,PT,,,,X
You & I Agency AS,Bryggegata 5,0250,Oslo,NO,https://www.youandiagency.no,4792687287,,X
Søss Frisør,Ole Nilsens vei 9,NO-4330,Ålgård,NO,,92693441,,X
VIDU AS,Avd. Jostu,NO-7670,Inderøy,NO,https://www.flyndra.no,92693950,,X
4knits AS,Close to My Heart,NO-0265,Oslo,NO,,,,X
Fosheim Sag AS,Fosheimvegen 44,NO-2960,Røn,NO,https://www.fosheimsag.no,92803436,,X
KAJSAS AS,Nesbruvn 75,1394,Nesbru,NO,,4792806001,,X
Sj Design AS,Frydenlundgata 6A,NO-0169,Oslo,NO,https://www.sjdesign.no,,,X
Nobel Interiør AS,Damlihaugen 8B,NO-0275,Oslo,NO,,,,X
Mary Indiana AS,Vogtsgate 54,NO-0477,Oslo,NO,,,,X
Hanne på landet AS,Asktorvet 4,NO-2022,Gjerdrum,NO,https://www.hannepalandet.no,92849888,,X
Zofie AS,Storgata 4b,NO-1767,Halden,NO,,,,X
Gjerpen-Huser int. & design,Kragstubben 24,0783,Oslo,NO,,92899024,,X
THE BLACK HOUSE PROJECTS S.L.,CALLE BRILLANT 15,08195,"SANT CUGAT DEL VALLES, BCN",ES,,+34 930025490,X,X
Gathe+Gram AS,Gimleveien 20 A ,NO-0266,Oslo,NO,,,,X
LINDHJEM AS,Himbergveien 39,NO-3280,Tjodalyng,NO,,,,X
hvitTRÅD AS,Vangsveien 64,2317,Hamar,NO,,,,X
"CADO INTERIORS, S.L.",Francesc Perez i Cabrero 7,08021,Barcelona,ES,https://jeanettetrensig.com/contacto/,34932012512,,X
By Sunde AS,Geilneset 16,NO-6030,Langevåg,NO,,,,X
Concept Design AS,Pilestredet 75C,NO-0354,Oslo,NO,,93284651,,X
Fionas Atelier,Castañer 27,ES-08010,Barcelona,ES,,34933157941,X,X
Tilinspirasjon interiørtjenester AS,Nedre bekk vei 17a,NO-1407,Vinterbro,NO,,+47 934 11 269,,X
W22 Interiør AS,Drammensveien 130,NO-0277,Oslo,NO,,4793455598,,X
Frk. Wickstrøm AS,Søbstadvn. 1C,NO-7088,Heimdal,NO,,93625727,,X
Ramp Design AS,Stuttvegen 2D,NO-1166,Oslo,NO,,,,X
Studio Fast ApS,Bios Gård 5st,8600,Silkeborg,DK,,,,X
Oj! Konsept AS,Rypevegen 15,NO-2406,Elverum,NO,https://www.ojdesign.no,94819911,,X
Input interior Norway AS,Ingvald Ystgaards veg 1 ,NO-7047,Trondheim,NO,https://www.inputinterior.no ,950 35 213 ,,X
Designa Haugesund AS,Longhammarvegen 7,5536,HAUGESUND,NO,https://www.dhinterior.no,48323340,,X
Allsidig,Galgebergveien 18,NO-4631,Kristiansand S,NO,,,,X
"Boconcept, plusstore","Ctra. De Mijas km 3,5",26950,"Mijas, Malaga",ES,,34951242092,,X
Fru Blom AS,Nakkimveien 65,NO-1892,Degernes,NO,,,,X
Hennies Hus AS,Dues vei 14 B,4009,Stavanger,NO,https://www.hennieshus.no,95133562,,X
Frk Fryd Interiør & styling,Hunsfoss Næringspark,NO-4708,Vennesla,NO,,95178550,,X
Liten Gave AS,Vettaliveien 4F,NO-0781,Oslo,NO,https://www.litengave.no,95216545,,X
MENT,Elvefaret 16,2625,Vallensbæk,DK,https://www.ment.no,,,X
Malte AS,Myldre Interiør,NO-2317,Hamar,NO,,95271333,,X
Harmonia AS,Strandgata 38,6905,FLORØ,NO,,95404101,,X
Kokooo AS,Kastellkroken 49,2080,Eidsvoll,NO,https://www.kokooo.no,,,X
"PERSEVERA PRODUCCIONES, SLU",C/VELARDE 10ª.,41001,Sevilla,ES,,+34 954546286,X,X
Studio Cocochic SL,calle Pilar edificio. mallen local 1 ,ES-41006,Sevilla,ES,,34 955212712,X,
Interiorbyline,Averstadmoen 12,NO-2040,Kløfta,NO,,,,X
Ny & Ne as,Strømmen storsenter,NO-2010,Strømmen,NO,https://www.nyogne.no,95799818,,X
JKE Design Narvik AS,Industrivein 16A,8517,NARVIK,NO,,95800027,,X
Glanz AS,Gjettumveien 121 B,NO-1346,Gjettum,NO,https://www.glanz.no,,,X
DayDreams & pearls,Thorvald Meyers gate 32 A,NO-0555,Oslo,NO,,,,X
Sodai AS,J.N. Jacobsens gate 15,NO-1606,Fredrikstad,NO,,95904444,,X
Cumulus Hamar AS,Larsen,NO-2317,Hamar,NO,,,,X
Happy Living AS,Grendeveien 19,3188,Horten,NO,https://www.happyliving.no,,,X
Hans Jacob Hoff,Holgerslystveien 1C,NO-0280,Oslo,NO,,95998352,,X
Babiloni Tenda dArt,Gobernador 2,12003,Castellón de la Plana,ES,,34964231959,,X
Klaus Dieter Mützel GmbH&CoKg,Schweinfurther Str. 6-10,97717,Euerdorf,DE,,499704603330,,X
Anouska AS avd Nesbru,Fekjan 80,NO-1394,Nesbru,NO,,,,X
Stas Ringebu AS,Ole Steigs Gate 11,NO-2630,Ringebu,NO,,,,X
Bohus Ecorn Møbelsenter AS,Ørneveien 9,9015,Tromsø,NO,,97112066,,X
Interior House Mallorca S.L.,About Living,07180,Santa Ponsa,ES,,34971134200,,X
IN SPIRE AS,Leivdalen,NO-6770,Nordfjordeid,NO,https://www.tore-garden.no,97120309,,X
Bryggejentene AS,Ersfjordveien 55,9107,Kvaløya,NO,,,,X
Memo of Norway AS,Mjønerudvegen 38,NO-1923,Sørum,NO,,+47 97195449,,X
Inspiri & Brodersen,Nygade 9-11,6950,Ringkøbing,DK,https://www.inspiri.dk,97320224 ,,X
SAND Mote & Interiør AS,Jon Torbergssons vei 1,NO-4070,Randberg,NO,,,,X
Main Boligstyling AS,Grottenveien 3A,NO-1177,Oslo,NO,https://www.mainboligstyling.no,97574057,,X
Seglem AS,"""Mitt lille hjem""",NO-0550,Oslo,NO,,22350150,,X
3 piker AS,Hamnegata 11,5411,Stord,NO,,97614436,,X
Bonita Concept AS,Madlakrossen 7,NO-4042,Hafrsfjord,NO,,97644711,,X
MSO Studio AS,Sundveien 10,NO-1397,Nesøya,NO,https://www.msostudio.no,97669904,,X
TH Agentur,Haneholmveien 1,3212,Sandefjord,NO,,97695382,,X
HOTEL ABADIA DEL PRIORAT S.L.U,C/Major 25,43737,Torroja del Priorat,ES,,+34 977099488,,X
Rom for Rom Interiør as,Nygata 12,2380,Brumunddal,NO,,,,X
Tante Bruun,Semslinna 35,NO-3170,Sem,NO,,,,X
Audhild Viken AS,Avd RØST,5015,Bergen,NO,https://www.audhildviken.no,97769688,,X
Bondens Hage,Helgerødveien 111,3233,Sandefjord,NO,,98010232,,X
Dobbel L AS,Fayes Gate 1-3,3110,Tønsberg,NO,,98036664,,X
Alabaster AS,Ullevålsveien 51A,NO-0171,Oslo,NO,,+ 47 927 71 692 ,,X
Beyu AS,Løkkeveien 77,NO-4008,Stavanger,NO,,98253167,,X
ILVA Terndrup,Max Jessen A/S,9575,Terndrup,DK,https://www.max-jessen.dk,98335333,X,X
Laurentius,Sct. Laurentiivej 29,9990,Skagen,DK,,98451900,,X
Rumklang,Havnen 12,9300,Sæby,DK,,98464414,,X
CONUVE STUDIO,Avda. de Galicia nº7,33005,Oviedo - Asturias,ES,,+34  985 024 042,X,X
Turine,"Jakob Tveit AS, Tveitsund",NO-3855,Treungen,NO,,98623061,,X
Homebygard Interiør AS,Meboståsen 1,NO-7580,Selbu,NO,,98661671,,X
PONFERRADA LA SUITE SL,"Calle Ave Maria, 17",24402,Ponferrada (LEÓN),ES,,+34 987423597,X,X
Børglum Kloster,Børglum Klostervej 255,9760,Vrå,DK,,91891828,,X
Confettibird AS,Thor Olsens Gate 8A,0177,Oslo,NO,,,,X
Boligkonsulentene AS,Vågsgata 33,NO-4306,Sandnes,NO,,99162567,,X
Stylistene AS,Svarttrostveien 34,NO-1529,Moss,NO,https://www.stylistene.com,99165537,,X
Kines Corner AS,Havnegata 15,NO-7800,Namsos,NO,,99268084,,X
Høyt Interiør,Togro Drift AS,NO-6512,Kristiansund,NO,,,,X
No 9 KAFÉ v/ Monika Rosenvinge,Hertug Skulesveg 20,NO-2618,Lillehammer,NO,,99545922,,X
Schee GmbH,Maastrichter Str. 36,50672,Köln,DE,,00490221995545,,X
hvitTRÅD as,Jernbanesvingen 6,NO-2821,Gjøvik,NO,,,,X
TAB Gruppen AS,Kompveien 2668,1940,BJØRKELANGEN,NO,,99639979,,X
ECLECTICIST,Triq il-Pitkali Road,ATD 2214,Attard,MT,,,,X
